id,side,pdfPage,cataloguePage,variant,name,code,sizeMm,sizeFt,finish,pcsPerBox,boxWeightKg,surface,category,subCategory,bodyType,textureFile,textureUrl,nameOcrRaw,headerOcrRaw,footerOcrRaw,confidence,nameScore,nameScoreReason
gt-floor-c001,L,3,1,1,Anilaz Grey,,600×1200mm,2×4 Ft,Glossy,2,27.00,Floor,Tiles,Floor Tiles,PGVT,gt-floor-2025-p01-t1-clean.webp,/assets/catalogue/clean_swatches/gt-floor-2025-p01-t1-clean.webp,ANILAZ GREY (Glossy),2x4Ft | 600x1200mm | G LO S SY,2 Pcs / 27.00 Kgs. Packing Weight (approx),high,90,wordy-multi
gt-floor-c002,R,3,2,2,Jubil Green,,600×1200mm,2×4 Ft,Glossy,2,27.00,Floor,Tiles,Floor Tiles,PGVT,gt-floor-2025-p02-t2-clean.webp,/assets/catalogue/clean_swatches/gt-floor-2025-p02-t2-clean.webp,"a “ Cae "" a _~ ee ae Pires Se ee ae > | JUBIL GREEN (Glossy)",GLOSSY Size : VITRIFIED TILES 2x4Ft | 600x1200mm | GLO,2 Pcs / 27.00 Kgs. Packing Weight (approx),high,90,wordy-multi
gt-floor-c003,L,4,3,1,Hope Wave,,600×1200mm,2×4 Ft,Glossy,2,27.00,Floor,Tiles,Floor Tiles,PGVT,gt-floor-2025-p03-t1-clean.webp,/assets/catalogue/clean_swatches/gt-floor-2025-p03-t1-clean.webp,HOPE WAVE (Glossy),2x4Ft | 600x1200mm | G LO S SY,2 Pcs / 27.00 Kgs. Packing Weight (approx),high,90,wordy-multi
gt-floor-c004,R,4,4,2,Vartus Statuario Gold,,600×1200mm,2×4 Ft,Glossy,2,27.00,Floor,Tiles,Floor Tiles,PGVT,gt-floor-2025-p04-t2-clean.webp,/assets/catalogue/clean_swatches/gt-floor-2025-p04-t2-clean.webp,VARTUS STATUARIO GOLD (Glossy),GLOSSY Size : VITRIFIED TILES 2x4Ft | 600x1200mm | GLO,2 Pcs / 27.00 Kgs. Packing Weight (approx),high,90,wordy-multi
gt-floor-c005,L,5,5,1,Taylor Blue,,600×1200mm,2×4 Ft,Glossy,2,27.00,Floor,Tiles,Floor Tiles,PGVT,gt-floor-2025-p05-t1-clean.webp,/assets/catalogue/clean_swatches/gt-floor-2025-p05-t1-clean.webp,"£ g ee > F WA (> te if : A i s) hy, TAYLOR BLUE (Glossy)",2x4Ft | 600x1200mm | G LO S SY,2 Pcs / 27.00 Kgs. Packing Weight (approx),high,90,wordy-multi
gt-floor-c006,R,5,6,2,G-15032,G-15032,600×1200mm,2×4 Ft,Glossy,2,27.00,Floor,Tiles,Floor Tiles,PGVT,gt-floor-2025-p06-t2-clean.webp,/assets/catalogue/clean_swatches/gt-floor-2025-p06-t2-clean.webp,"eA ee rida Crees aI MoT ee CD a oe SES ig po er ReRecrny (yo Sere COI | gaan at a ge: MRM Sec co: See oro ye ike — <p! aad a Be Sy, aoe Een 43) pres = i =e yar his Ae ee ” eee ait Jo e ie, on tm ST ta",GLOSSY Size : VITRIFIED TILES 2x4Ft | 600x1200mm | GLO,2 Pcs / 27.00 Kgs. Packing Weight (approx),high,95,
gt-floor-c007,L,6,7,1,G-15741,G-15741,600×1200mm,2×4 Ft,Glossy,2,27.00,Floor,Tiles,Floor Tiles,PGVT,gt-floor-2025-p07-t1-clean.webp,/assets/catalogue/clean_swatches/gt-floor-2025-p07-t1-clean.webp,G-15741 (Glossy),2x4Ft | 600x1200mm | G LO S SY,2 Pcs / 27.00 Kgs. Packing Weight (approx),high,95,
gt-floor-c008,R,6,8,2,Dorlin White,,600×1200mm,2×4 Ft,Glossy,2,27.00,Floor,Tiles,Floor Tiles,PGVT,gt-floor-2025-p08-t2-clean.webp,/assets/catalogue/clean_swatches/gt-floor-2025-p08-t2-clean.webp,=— NG *< x. > A \ 1 ‘ WY DORLIN WHITE (Glossy),GLOSSY Size : VITRIFIED TILES 2x4Ft | 600x1200mm | GLO,2 Pcs / 27.00 Kgs. Packing Weight (approx),high,90,wordy-multi
gt-floor-c009,L,7,9,1,Trinity Beige,,600×1200mm,2×4 Ft,Glossy,2,27.00,Floor,Tiles,Floor Tiles,PGVT,gt-floor-2025-p09-t1-clean.webp,/assets/catalogue/clean_swatches/gt-floor-2025-p09-t1-clean.webp,"= , ~"" > a the WA / 3 ot ‘ “- Nye iy * a 6 : ' a ‘= : ; We % ae es “A ' F TRINITY BEIGE (Glossy)",a 2x4Ft | 600x1200mm & MAT T,BENGE WEE © GEN Ue E PWD y A VIG) ee 2 Pcs / 27.00 Kgs. Packing Weight (approx),high,90,wordy-multi
gt-floor-c010,R,7,10,2,Global Floor Tile #10,,600×1200mm,2×4 Ft,Glossy,2,27.00,Floor,Tiles,Floor Tiles,PGVT,gt-floor-2025-p10-t2-clean.webp,/assets/catalogue/clean_swatches/gt-floor-2025-p10-t2-clean.webp,". : - on N fags wc } ia ae . t . - | it . — — —_.— a sae ""+ > ne | .~ eel . ' ae NS “eA, . . . ' ; . ‘ f : 4 nel: wa . a aot ‘ ‘",GLOSSY & MATT Size: | GLO VITRIFIED TILES 2x4Ft | 600x1200mm | gM A,2 Pcs / 27.00 Kgs. Packing Weight (approx),placeholder,15,fragmented
gt-floor-c011,L,8,11,1,Arson Crema,,600×1200mm,2×4 Ft,Glossy,2,27.00,Floor,Tiles,Floor Tiles,PGVT,gt-floor-2025-p11-t1-clean.webp,/assets/catalogue/clean_swatches/gt-floor-2025-p11-t1-clean.webp,ARSON CREMA (Glossy),2x4Ft | 600x1200mm | G LO S SY,2 Pcs / 27.00 Kgs. Packing Weight (approx),high,90,wordy-multi
