id,name,ocrName,sizeMm,finish,pdfPage,textureUrl
"gt-floor-c006","Global Floor Tile #6","G-15032","600×1200mm","Glossy","5","/assets/catalogue/clean_swatches/gt-floor-2025-p06-t2-clean.webp"
"gt-floor-c007","Global Floor Tile #7","G-15741","600×1200mm","Glossy","6","/assets/catalogue/clean_swatches/gt-floor-2025-p07-t1-clean.webp"
"gt-floor-c010","Global Floor Tile #10","","600×1200mm","Glossy","7","/assets/catalogue/clean_swatches/gt-floor-2025-p10-t2-clean.webp"
"gt-floor-c016","Global Floor Tile #16","","600×1200mm","Glossy","10","/assets/catalogue/clean_swatches/gt-floor-2025-p16-t2-clean.webp"
"gt-floor-c024","Global Floor Tile #24","","600×1200mm","Glossy","14","/assets/catalogue/clean_swatches/gt-floor-2025-p24-t2-clean.webp"
"gt-floor-c027","Global Floor Tile #27","G-15726","600×1200mm","Glossy","16","/assets/catalogue/clean_swatches/gt-floor-2025-p27-t1-clean.webp"
"gt-floor-c037","Global Floor Tile #37","","600×1200mm","Glossy","21","/assets/catalogue/clean_swatches/gt-floor-2025-p37-t1-clean.webp"
"gt-floor-c038","Global Floor Tile #38","","600×1200mm","Glossy","21","/assets/catalogue/clean_swatches/gt-floor-2025-p38-t2-clean.webp"
"gt-floor-c039","Global Floor Tile #39","","600×1200mm","Glossy","22","/assets/catalogue/clean_swatches/gt-floor-2025-p39-t1-clean.webp"
"gt-floor-c040","Global Floor Tile #40","","600×1200mm","Glossy","22","/assets/catalogue/clean_swatches/gt-floor-2025-p40-t2-clean.webp"
"gt-floor-c041","Global Floor Tile #41","","600×1200mm","Glossy","23","/assets/catalogue/clean_swatches/gt-floor-2025-p41-t1-clean.webp"
"gt-floor-c042","Global Floor Tile #42","","600×1200mm","Glossy","23","/assets/catalogue/clean_swatches/gt-floor-2025-p42-t2-clean.webp"
"gt-floor-c043","Global Floor Tile #43","","600×1200mm","Glossy","24","/assets/catalogue/clean_swatches/gt-floor-2025-p43-t1-clean.webp"
"gt-floor-c044","Global Floor Tile #44","","600×1200mm","Glossy","24","/assets/catalogue/clean_swatches/gt-floor-2025-p44-t2-clean.webp"
"gt-floor-c045","Global Floor Tile #45","","600×1200mm","Glossy","25","/assets/catalogue/clean_swatches/gt-floor-2025-p45-t1-clean.webp"
"gt-floor-c046","Global Floor Tile #46","","600×1200mm","Glossy","25","/assets/catalogue/clean_swatches/gt-floor-2025-p46-t2-clean.webp"
"gt-floor-c047","Global Floor Tile #47","","600×1200mm","Glossy","26","/assets/catalogue/clean_swatches/gt-floor-2025-p47-t1-clean.webp"
"gt-floor-c048","Global Floor Tile #48","","600×1200mm","Glossy","26","/assets/catalogue/clean_swatches/gt-floor-2025-p48-t2-clean.webp"
"gt-floor-c049","Global Floor Tile #49","","600×1200mm","Glossy","27","/assets/catalogue/clean_swatches/gt-floor-2025-p49-t1-clean.webp"
"gt-floor-c050","Global Floor Tile #50","","600×1200mm","Glossy","27","/assets/catalogue/clean_swatches/gt-floor-2025-p50-t2-clean.webp"
"gt-floor-c052","Global Floor Tile #52","","600×1200mm","Matte","28","/assets/catalogue/clean_swatches/gt-floor-2025-p52-t2-clean.webp"
"gt-floor-c054","Global Floor Tile #54","","600×1200mm","Matte","29","/assets/catalogue/clean_swatches/gt-floor-2025-p54-t2-clean.webp"
"gt-floor-c055","Global Floor Tile #55","","600×1200mm","Glossy","30","/assets/catalogue/clean_swatches/gt-floor-2025-p55-t1-clean.webp"
"gt-floor-c056","Global Floor Tile #56","","600×1200mm","Carving","30","/assets/catalogue/clean_swatches/gt-floor-2025-p56-t2-clean.webp"
"gt-floor-c057","Global Floor Tile #57","","600×1200mm","Glossy","31","/assets/catalogue/clean_swatches/gt-floor-2025-p57-t1-clean.webp"
"gt-floor-c058","Global Floor Tile #58","","600×1200mm","Carving","31","/assets/catalogue/clean_swatches/gt-floor-2025-p58-t2-clean.webp"
"gt-floor-c060","Global Floor Tile #60","","600×1200mm","Carving","32","/assets/catalogue/clean_swatches/gt-floor-2025-p60-t2-clean.webp"
"gt-floor-c061","Global Floor Tile #61","","600×1200mm","Glossy","33","/assets/catalogue/clean_swatches/gt-floor-2025-p61-t1-clean.webp"
"gt-floor-c063","Global Floor Tile #63","","600×1200mm","Glossy","34","/assets/catalogue/clean_swatches/gt-floor-2025-p63-t1-clean.webp"
"gt-floor-c065","Global Floor Tile #65","","600×1200mm","Matte","35","/assets/catalogue/clean_swatches/gt-floor-2025-p65-t1-clean.webp"
"gt-floor-c066","Global Floor Tile #66","","600×1200mm","Matte","35","/assets/catalogue/clean_swatches/gt-floor-2025-p66-t2-clean.webp"
"gt-floor-c067","Global Floor Tile #67","","600×1200mm","Matte","36","/assets/catalogue/clean_swatches/gt-floor-2025-p67-t1-clean.webp"
"gt-floor-c068","Global Floor Tile #68","","600×1200mm","Matte","36","/assets/catalogue/clean_swatches/gt-floor-2025-p68-t2-clean.webp"
"gt-floor-c069","Global Floor Tile #69","","600×1200mm","Matte","37","/assets/catalogue/clean_swatches/gt-floor-2025-p69-t1-clean.webp"
"gt-floor-c071","Global Floor Tile #71","","600×1200mm","Matte","38","/assets/catalogue/clean_swatches/gt-floor-2025-p71-t1-clean.webp"
"gt-floor-c072","Global Floor Tile #72","","600×1200mm","Matte","38","/assets/catalogue/clean_swatches/gt-floor-2025-p72-t2-clean.webp"
"gt-floor-c073","Global Floor Tile #73","","600×1200mm","Matte","39","/assets/catalogue/clean_swatches/gt-floor-2025-p73-t1-clean.webp"
"gt-floor-c074","Global Floor Tile #74","","600×1200mm","Matte","39","/assets/catalogue/clean_swatches/gt-floor-2025-p74-t2-clean.webp"
"gt-floor-c075","Global Floor Tile #75","","600×1200mm","Matte","40","/assets/catalogue/clean_swatches/gt-floor-2025-p75-t1-clean.webp"
"gt-floor-c076","Global Floor Tile #76","","600×1200mm","Matte","40","/assets/catalogue/clean_swatches/gt-floor-2025-p76-t2-clean.webp"
"gt-floor-c077","Global Floor Tile #77","","600×1200mm","Glossy","41","/assets/catalogue/clean_swatches/gt-floor-2025-p77-t1-clean.webp"
"gt-floor-c080","Global Floor Tile #80","","600×1200mm","Glossy","42","/assets/catalogue/clean_swatches/gt-floor-2025-p80-t2-clean.webp"
"gt-floor-c083","Global Floor Tile #83","","800×1600mm","Glossy","44","/assets/catalogue/clean_swatches/gt-floor-2025-p83-t1-clean.webp"
"gt-floor-c084","Global Floor Tile #84","","800×1600mm","Glossy","44","/assets/catalogue/clean_swatches/gt-floor-2025-p84-t2-clean.webp"
"gt-floor-c085","Global Floor Tile #85","","800×1600mm","Glossy","45","/assets/catalogue/clean_swatches/gt-floor-2025-p85-t1-clean.webp"
"gt-floor-c086","Global Floor Tile #86","","800×1600mm","Glossy","45","/assets/catalogue/clean_swatches/gt-floor-2025-p86-t2-clean.webp"
"gt-floor-c087","Global Floor Tile #87","","800×1600mm","Glossy","46","/assets/catalogue/clean_swatches/gt-floor-2025-p87-t1-clean.webp"
"gt-floor-c088","Global Floor Tile #88","","800×1600mm","Glossy","46","/assets/catalogue/clean_swatches/gt-floor-2025-p88-t2-clean.webp"
"gt-floor-c089","Global Floor Tile #89","","800×1600mm","Glossy","47","/assets/catalogue/clean_swatches/gt-floor-2025-p89-t1-clean.webp"
"gt-floor-c090","Global Floor Tile #90","","800×1600mm","Glossy","47","/assets/catalogue/clean_swatches/gt-floor-2025-p90-t2-clean.webp"
"gt-floor-c091","Global Floor Tile #91","","800×1600mm","Glossy","48","/assets/catalogue/clean_swatches/gt-floor-2025-p91-t1-clean.webp"
"gt-floor-c092","Global Floor Tile #92","","800×1600mm","Glossy","48","/assets/catalogue/clean_swatches/gt-floor-2025-p92-t2-clean.webp"
"gt-floor-c094","Global Floor Tile #94","","600×600mm","Glossy","49","/assets/catalogue/clean_swatches/gt-floor-2025-p94-t2-clean.webp"
"gt-floor-c095","Global Floor Tile #95","","600×600mm","Matte","50","/assets/catalogue/clean_swatches/gt-floor-2025-p95-t1-clean.webp"
"gt-floor-c096","Global Floor Tile #96","","600×600mm","Glossy","50","/assets/catalogue/clean_swatches/gt-floor-2025-p96-t2-clean.webp"
"gt-floor-c097","Global Floor Tile #97","","600×600mm","Matte","51","/assets/catalogue/clean_swatches/gt-floor-2025-p97-t1-clean.webp"
"gt-floor-c098","Global Floor Tile #98","","600×600mm","Glossy","51","/assets/catalogue/clean_swatches/gt-floor-2025-p98-t2-clean.webp"
"gt-floor-c099","Global Floor Tile #99","","600×600mm","Glossy","52","/assets/catalogue/clean_swatches/gt-floor-2025-p99-t1-clean.webp"
"gt-floor-c100","Global Floor Tile #100","","600×600mm","Glossy","52","/assets/catalogue/clean_swatches/gt-floor-2025-p100-t2-clean.webp"
"gt-floor-c102","Global Floor Tile #102","","600×600mm","Glossy","53","/assets/catalogue/clean_swatches/gt-floor-2025-p102-t2-clean.webp"
"gt-floor-c103","Global Floor Tile #103","","600×600mm","Glossy","54","/assets/catalogue/clean_swatches/gt-floor-2025-p103-t1-clean.webp"
"gt-floor-c107","Global Floor Tile #107","","600×600mm","Glossy","56","/assets/catalogue/clean_swatches/gt-floor-2025-p107-t1-clean.webp"
