id,variant,quadrant,pdfPage,name,sizeMm,sizeIn,finish,pcsPerBox,boxWeightKg,coverageSqFt,surface,category,subCategory,textureFile,textureUrl,nameOcrRaw,headerOcrRaw,footerOcrRaw,confidence
gt2025-c141,1,TL,3,Briko-Carrot,75×300mm,"3""×12""",Glossy,,,,Wall,Tiles,Wall Tiles,gt-2025-p02-t1-clean.webp,/assets/catalogue/clean_swatches/gt-2025-p02-t1-clean.webp,gg . : 7 — — . if a BRIKO-CARROT,N Size: | [TTA LAN Al \ 3”x12” | 73x300mm | — biigre,"a page-01 3°x12”"" Wall Tiles / Thermocol Packing / Coverage / Weight (approx)",high
gt2025-c142,2,BL,3,Briko-Khakhi,75×300mm,"3""×12""",Glossy,,,,Wall,Tiles,Wall Tiles,gt-2025-p02-t2-clean.webp,/assets/catalogue/clean_swatches/gt-2025-p02-t2-clean.webp,id l = _ J | i | ; eee ee BRIKO-KHAKHI ___ ae _ = | r iL - - | _ | ; Tt i = _ a ! 1c mm | - | | ee — a |,N Size: | [TTA LAN Al \ 3”x12” | 73x300mm | — biigre,"a page-01 3°x12”"" Wall Tiles / Thermocol Packing / Coverage / Weight (approx)",high
gt2025-c143,3,TR,3,Toners,75×300mm,"3""×12""",Glossy,,,,Wall,Tiles,Wall Tiles,gt-2025-p02-t3-clean.webp,/assets/catalogue/clean_swatches/gt-2025-p02-t3-clean.webp,"| = ) =e ; : as - | - a eo, n . - ~ — . -_"" -. - ~~ we eo ee = ae : ~ ray : “ee . ——— TAR ot rm . cole . and . . ’ . : eet _—F wees we oo! ee ee as ~— ~ . ~ . . ~ ° be . . ; Le * - . en m4 - Ey . rs a","DIGITAL WALL TILES Size: | [TA LIAN Al EXCLUSIVE COLLECTION 3""x12"" | 73x300mm | — Liign:",3°x12” Wall Tiles / Thermocol Packing / Coverage / Weight (approx) pag,high
gt2025-c144,4,BR,3,Stony-22,75×300mm,"3""×12""",Glossy,,,,Wall,Tiles,Wall Tiles,gt-2025-p02-t4-clean.webp,/assets/catalogue/clean_swatches/gt-2025-p02-t4-clean.webp,"An a * 7 ; . a a STONY-22 ~ - j : —"" oe = ; = hes ne","DIGITAL WALL TILES Size: | [TA LIAN Al EXCLUSIVE COLLECTION 3""x12"" | 73x300mm | — Liign:",3°x12” Wall Tiles / Thermocol Packing / Coverage / Weight (approx) pag,high
gt2025-c145,1,TL,4,Manian,300×300mm,,Glossy,20,14.50,9.62,Wall,Tiles,Wall Tiles,gt-2025-p03-t1-clean.webp,/assets/catalogue/clean_swatches/gt-2025-p03-t1-clean.webp,"- a one a we te . pags t i a a ae rea 8 tg “,. - oF - $F: 4 nays ae wh ahs A : { Moyen a 7th ort . ’ ' cna + oe dee wah ate o . oe . ree ey LE ne af Say Mh gk : Po”, , ’ ‘4 ee edt dias , aa.tl!lé<éi a",\ Size : aT AMIAN N 12”x12” | 300x300mm | = ar id,- - . 20 Pcs 9.62 Sq. Ft. / 14.50 Kgs. page-03 6”x12” Wall Tiles / Thermocol Packing / Coverage / Weight (approx),high
gt2025-c146,2,BL,4,Stony-57,300×300mm,,Glossy,20,14.50,9.62,Wall,Tiles,Wall Tiles,gt-2025-p03-t2-clean.webp,/assets/catalogue/clean_swatches/gt-2025-p03-t2-clean.webp,": , . - we ge ep oe —_ “ee aey a ne | as . es Tm am hath find J? («f They ce, “2.7% » 4 a a . ~ - a4 = es _— = * a . oe - . oe wo. . J “4 eo HTS rey we. 8 ye et eer) . = - o- oo sow - ‘e . . : . . . f",\ Size : aT AMIAN N 12”x12” | 300x300mm | = ar id,- - . 20 Pcs 9.62 Sq. Ft. / 14.50 Kgs. page-03 6”x12” Wall Tiles / Thermocol Packing / Coverage / Weight (approx),high
gt2025-c147,3,TR,4,Crossy-Carrot (Random),300×300mm,"12""×12""",Glossy,,,,Wall,Tiles,Wall Tiles,gt-2025-p03-t3-clean.webp,/assets/catalogue/clean_swatches/gt-2025-p03-t3-clean.webp,oe ee ee +‘ __*__* =\ CROSSY-CARROT (RANDOM) fam SGN a ——dW@W\><2«<ST o ——<— rm YAS,"DIGITAL WALL TILES Size: | [TA LIAN Al EXCLUSIVE COLLECTION 12""x12"" | 300x300mm | — Liign:",12°x12” Wall Tiles / Thermocol Packing / Coverage / Weight (approx) page 04,high
gt2025-c148,4,BR,4,Belteart,300×300mm,"12""×12""",Glossy,,,,Wall,Tiles,Wall Tiles,gt-2025-p03-t4-clean.webp,/assets/catalogue/clean_swatches/gt-2025-p03-t4-clean.webp,">|!"" ’ j - ' il ow, _ _ a a a -., a y y . ~ ~ "" t ro ba a — \ \ . \\ ¥ \\ \ \ . i ! ———— ‘ \ . \ \ \ \ la ——— \ XN j \ \ ANS \ \\ ON \ YN \ a - \ XN Ne ON ‘\ BElteart = . \\ a 7 ee + “ - \ \\ XN \ ‘ :","DIGITAL WALL TILES Size: | [TA LIAN Al EXCLUSIVE COLLECTION 12""x12"" | 300x300mm | — Liign:",12°x12” Wall Tiles / Thermocol Packing / Coverage / Weight (approx) page 04,high
gt2025-c149,1,TL,5,Choco (Raandom),300×300mm,,Glossy,12,17.00,12,Wall,Tiles,Wall Tiles,gt-2025-p04-t1-clean.webp,/assets/catalogue/clean_swatches/gt-2025-p04-t1-clean.webp,| CHOCO (raANDom),N Size : EL ALIAN \ 12”x12” | 300x300mm | — big 11 Pcs,"ELE , 12 Pcs 12 Sq. Ft. / 17.00 Kgs. page-05 12”x12” Wall Tiles / Thermocol Packing / Coverage / Weight (approx)",high
gt2025-c150,2,BL,5,Parken,300×300mm,,Glossy,12,17.00,12,Wall,Tiles,Wall Tiles,gt-2025-p04-t2-clean.webp,/assets/catalogue/clean_swatches/gt-2025-p04-t2-clean.webp,"a a / ore re BY my ON oe oe tee ely at, oe . wo a tae ¢ oe Ps * oo \ 3 b a s i A Ate - ee. <4 nS me ee @e. o ete ys MO. fi ett: 6 OF RL, ee ss pe Oe a are > ta g ‘pe te ORM . an are wit cae a en Lo i,",N Size : EL ALIAN \ 12”x12” | 300x300mm | — big 11 Pcs,"ELE , 12 Pcs 12 Sq. Ft. / 17.00 Kgs. page-05 12”x12” Wall Tiles / Thermocol Packing / Coverage / Weight (approx)",high
gt2025-c151,3,TR,5,Pool-06,300×300mm,"12""×12""",Glossy,12,17.00,12,Wall,Tiles,Wall Tiles,gt-2025-p04-t3-clean.webp,/assets/catalogue/clean_swatches/gt-2025-p04-t3-clean.webp,seat Pec SE OE $9606 Aa Aya “ oes ECE Ceaanaas ReNwee | es eR TT Pv g0ene un po POOL-06 gogeeene > nega SS ALAN e= gt oe A eee SST Rp,"DIGITAL WALL TILES Size: | [TA LIAN Al EXCLUSIVE COLLECTION 12""x12"" | 300x300mm | — Liign:","a 9 9 . 12 Pcs 12 Sq. Ft. 17.00 Kgs. aae-06 12°x12"" Wall Tiles / Thermocol Packing / Coverage / Weight (approx) pag",high
gt2025-c152,4,BR,5,Pool-13,300×300mm,"12""×12""",Glossy,12,17.00,12,Wall,Tiles,Wall Tiles,gt-2025-p04-t4-clean.webp,/assets/catalogue/clean_swatches/gt-2025-p04-t4-clean.webp,"—- —_ — “> S a ee ms - —_ ee —w ast ne “ mS -_—= = —— Sane me a ee . ee | ee o4 Fo : a x ar a oe ae oe a eer oe Ra a. “oe ry ” — ~ : . $ * ~, —: “y . ! &t TF ” _# = oo : | = | POOL-13","DIGITAL WALL TILES Size: | [TA LIAN Al EXCLUSIVE COLLECTION 12""x12"" | 300x300mm | — Liign:","a 9 9 . 12 Pcs 12 Sq. Ft. 17.00 Kgs. aae-06 12°x12"" Wall Tiles / Thermocol Packing / Coverage / Weight (approx) pag",high
gt2025-c153,1,TL,6,Pilin,300×300mm,,Glossy,,,,Wall,Tiles,Wall Tiles,gt-2025-p05-t1-clean.webp,/assets/catalogue/clean_swatches/gt-2025-p05-t1-clean.webp,"a ae ey el e a _ ee. sou . a aA av” ” 4 j A 4 -<3 ~: oF BF gn ea hy SOR v ow ~ xy an 7 ) , A ‘ _ =o “ye 7 pat } 4 - ne ‘es pilin: mn i rrr Fig ie 48 ey, . ory fe ‘ . . 4 Ps on --, Te - 4 yo : ion 'f :",\ Size : aT AMIAN N 12”x12” | 300x300mm | = ar id,i eeeeeeee—C—CSCSCsS ns page-07 12”x12” Wall Tiles / Thermocol Packing / Coverage / Weight (approx),high
gt2025-c154,2,BL,6,Eevee,300×300mm,,Glossy,,,,Wall,Tiles,Wall Tiles,gt-2025-p05-t2-clean.webp,/assets/catalogue/clean_swatches/gt-2025-p05-t2-clean.webp,"roy ty | Ne | FE i all ( | | \q : 7 Tk Ey ee “oe FM if errs 4 3 . xX NY, % a} b«! : 1 Bb: SAR i: SN ee A! a ae Pere eevee EET TE",\ Size : aT AMIAN N 12”x12” | 300x300mm | = ar id,i eeeeeeee—C—CSCSCsS ns page-07 12”x12” Wall Tiles / Thermocol Packing / Coverage / Weight (approx),high
gt2025-c155,3,TR,6,Vm-09,300×300mm,"12""×12""",Glossy,12,17.00,12,Wall,Tiles,Wall Tiles,gt-2025-p05-t3-clean.webp,/assets/catalogue/clean_swatches/gt-2025-p05-t3-clean.webp,"fi . | I : J | | | fi | | he , | = |) aad pot | — “ , ~~“ ' . “ - ~ t ™ i} = i VM-09 — i | . aunt _ 1 Lf x . . . r Z 4 [ ; |","DIGITAL WALL TILES Size: | [TA LIAN Al EXCLUSIVE COLLECTION 12""x12"" | 300x300mm | — Liign:",130-4 993 12 Pcs 12 Sq. Ft. / 17.00 Kgs. aqe-08 12°x12” Wall Tiles / Thermocol Packing / Coverage / Weight (approx) Pag,high
gt2025-c156,4,BR,6,Bruuudcuueeceecececeenn,300×300mm,"12""×12""",Glossy,12,17.00,12,Wall,Tiles,Wall Tiles,gt-2025-p05-t4-clean.webp,/assets/catalogue/clean_swatches/gt-2025-p05-t4-clean.webp,"BRUUUDCUUEECEECECeceenn ; on Se ’ y - i: 2. ; os ""YT ¥ 4 P : ’ -. (q : on ; ! ne ee eee [Ti wm me & Seer eee rT — rd Ur a ma ho he ho","DIGITAL WALL TILES Size: | [TA LIAN Al EXCLUSIVE COLLECTION 12""x12"" | 300x300mm | — Liign:",130-4 993 12 Pcs 12 Sq. Ft. / 17.00 Kgs. aqe-08 12°x12” Wall Tiles / Thermocol Packing / Coverage / Weight (approx) Pag,high
gt2025-c157,1,TL,7,Ounnerreramaars,300×300mm,,Glossy,,,,Wall,Tiles,Wall Tiles,gt-2025-p06-t1-clean.webp,/assets/catalogue/clean_swatches/gt-2025-p06-t1-clean.webp,". thet on _ ~ t ' =— Z . . nated vl ie \ ¥ i - , — . SNe ' Es | , _ = — i 3 re Be j-o = PE —EEE ' ‘ == ; wae : —=———3} 1 Be “4 38 b- . t ‘ 1” — x . oT ‘ 40 — » = ie = 1 Ce — | ee. thee ee 4) _—_—_ aa ",\ Size : aT AMIAN N 12”x12” | 300x300mm | = ar id,page-09 12”x12” Wall Tiles / Thermocol Packing / Coverage / Weight (approx),high
gt2025-c158,2,BL,7,Ctb-08,300×300mm,,Glossy,,,,Wall,Tiles,Wall Tiles,gt-2025-p06-t2-clean.webp,/assets/catalogue/clean_swatches/gt-2025-p06-t2-clean.webp,"a i ‘ wotot ss Bn ee we cece pepeee ene nee bo cov ceca tae ion : | | | | ! | | , | | / | | Mota nO SO eee etme teen 7 - , . if a | Ot | es _ eee peeve - we ete ‘ _. Lo | | . ef * Sa . ” , | re _“ Ld ",\ Size : aT AMIAN N 12”x12” | 300x300mm | = ar id,page-09 12”x12” Wall Tiles / Thermocol Packing / Coverage / Weight (approx),high
gt2025-c159,3,TR,7,Ctb-29,300×300mm,"12""×12""",Glossy,,,,Wall,Tiles,Wall Tiles,gt-2025-p06-t3-clean.webp,/assets/catalogue/clean_swatches/gt-2025-p06-t3-clean.webp,"_ x... ny eS | — ) ITT a eS Sa 1 J ihe ; 7 { : (} 2 ‘Ty J _ : __ j — ge de J } _ rr | ie: - "" J j - | , i ‘i cC _____ J. =f ——_ — 4 4 VE ? ee © oO ‘ ——————— CTB-29 —— SSS","DIGITAL WALL TILES Size: | [TA LIAN Al EXCLUSIVE COLLECTION 12""x12"" | 300x300mm | — Liign:","Oe ""ee 12°x12”"" Wall Tiles / Thermocol Packing / Coverage / Weight (approx) page-10",high
