id,name,ocrName,sizeMm,pcsPerBox,boxWeightKg,pdfPage,textureUrl
"gt2025-c148","Global Wall Tile #148","","300×300mm","","","4","/assets/catalogue/clean_swatches/gt-2025-p03-t4-clean.webp"
"gt2025-c170","Global Wall Tile #170","","300×300mm","","","10","/assets/catalogue/clean_swatches/gt-2025-p09-t2-clean.webp"
"gt2025-c172","Global Wall Tile #172","","300×300mm","","","10","/assets/catalogue/clean_swatches/gt-2025-p09-t4-clean.webp"
"gt2025-c174","Global Wall Tile #174","","300×450mm","","","11","/assets/catalogue/clean_swatches/gt-2025-p10-t2-clean.webp"
"gt2025-c175","Global Wall Tile #175","56177-HL","300×450mm","6","10.00","11","/assets/catalogue/clean_swatches/gt-2025-p10-t3-clean.webp"
"gt2025-c176","Global Wall Tile #176","Fated","300×450mm","6","10.00","11","/assets/catalogue/clean_swatches/gt-2025-p10-t4-clean.webp"
"gt2025-c178","Global Wall Tile #178","56181-HL","300×300mm","","","12","/assets/catalogue/clean_swatches/gt-2025-p11-t2-clean.webp"
"gt2025-c179","Global Wall Tile #179","56210-HL","300×450mm","","","12","/assets/catalogue/clean_swatches/gt-2025-p11-t3-clean.webp"
"gt2025-c183","Global Wall Tile #183","55006-HL","300×450mm","","","13","/assets/catalogue/clean_swatches/gt-2025-p12-t3-clean.webp"
"gt2025-c184","Global Wall Tile #184","55127-HL","300×450mm","","","13","/assets/catalogue/clean_swatches/gt-2025-p12-t4-clean.webp"
"gt2025-c188","Global Wall Tile #188","","300×450mm","","","14","/assets/catalogue/clean_swatches/gt-2025-p13-t4-clean.webp"
"gt2025-c191","Global Wall Tile #191","55262-HL","300×450mm","6","10.00","15","/assets/catalogue/clean_swatches/gt-2025-p14-t3-clean.webp"
"gt2025-c192","Global Wall Tile #192","5332-HL","300×450mm","6","10.00","15","/assets/catalogue/clean_swatches/gt-2025-p14-t4-clean.webp"
"gt2025-c193","Global Wall Tile #193","55394-HL","300×300mm","","","16","/assets/catalogue/clean_swatches/gt-2025-p15-t1-clean.webp"
"gt2025-c198","Global Wall Tile #198","55644-HL","300×300mm","","","17","/assets/catalogue/clean_swatches/gt-2025-p16-t2-clean.webp"
"gt2025-c199","Global Wall Tile #199","55656-HL","300×450mm","","","17","/assets/catalogue/clean_swatches/gt-2025-p16-t3-clean.webp"
"gt2025-c200","Global Wall Tile #200","55754-HL","300×450mm","","","17","/assets/catalogue/clean_swatches/gt-2025-p16-t4-clean.webp"
"gt2025-c203","Global Wall Tile #203","","300×450mm","6","10.00","18","/assets/catalogue/clean_swatches/gt-2025-p17-t3-clean.webp"
"gt2025-c204","Global Wall Tile #204","9056-HL","300×450mm","6","10.00","18","/assets/catalogue/clean_swatches/gt-2025-p17-t4-clean.webp"
"gt2025-c208","Global Wall Tile #208","","300×450mm","6","10.00","19","/assets/catalogue/clean_swatches/gt-2025-p18-t4-clean.webp"
"gt2025-c211","Global Wall Tile #211","","300×450mm","","","20","/assets/catalogue/clean_swatches/gt-2025-p19-t3-clean.webp"
"gt2025-c212","Global Wall Tile #212","","300×450mm","","","20","/assets/catalogue/clean_swatches/gt-2025-p19-t4-clean.webp"
"gt2025-c213","Global Wall Tile #213","56197-HL","300×300mm","","","21","/assets/catalogue/clean_swatches/gt-2025-p20-t1-clean.webp"
"gt2025-c214","Global Wall Tile #214","ECR1AGA1I","300×300mm","","","21","/assets/catalogue/clean_swatches/gt-2025-p20-t2-clean.webp"
"gt2025-c215","Global Wall Tile #215","56199-HL","300×450mm","6","10.00","21","/assets/catalogue/clean_swatches/gt-2025-p20-t3-clean.webp"
"gt2025-c216","Global Wall Tile #216","","300×450mm","6","10.00","21","/assets/catalogue/clean_swatches/gt-2025-p20-t4-clean.webp"
"gt2025-c222","Global Wall Tile #222","","300×300mm","","","23","/assets/catalogue/clean_swatches/gt-2025-p22-t2-clean.webp"
"gt2025-c224","Global Wall Tile #224","","300×450mm","","","23","/assets/catalogue/clean_swatches/gt-2025-p22-t4-clean.webp"
"gt2025-c232","Global Wall Tile #232","","300×450mm","5","9.00","25","/assets/catalogue/clean_swatches/gt-2025-p24-t4-clean.webp"
"gt2025-c241","Global Wall Tile #241","","300×300mm","","18.00","28","/assets/catalogue/clean_swatches/gt-2025-p27-t1-clean.webp"
"gt2025-c242","Global Wall Tile #242","","300×300mm","","18.00","28","/assets/catalogue/clean_swatches/gt-2025-p27-t2-clean.webp"
"gt2025-c249","Global Wall Tile #249","","300×300mm","","","30","/assets/catalogue/clean_swatches/gt-2025-p29-t1-clean.webp"
"gt2025-c257","Global Wall Tile #257","","300×300mm","","18.00","32","/assets/catalogue/clean_swatches/gt-2025-p31-t1-clean.webp"
"gt2025-c264","Global Wall Tile #264","","400×400mm","5","18.00","33","/assets/catalogue/clean_swatches/gt-2025-p32-t4-clean.webp"
"gt2025-c268","Global Wall Tile #268","","400×400mm","","18.00","34","/assets/catalogue/clean_swatches/gt-2025-p33-t4-clean.webp"
"gt2025-c269","Global Wall Tile #269","","300×300mm","","18.00","35","/assets/catalogue/clean_swatches/gt-2025-p34-t1-clean.webp"
