id,pdfPage,name,sizeMm,sizeIn,finish,surface,category,subCategory,layout,textureFile,textureUrl,nameOcrRaw,confidence
sky12x18-c001,2,123-L,450×300mm,"12""×18""",Glossy,Wall,Tiles,Wall Tiles,product,sky12x18-p2-t1-clean.webp,/assets/catalogue/clean_swatches/sky12x18-p2-t1-clean.webp,450X300 123-L 450X300 123-L _—* BX |,high
sky12x18-c002,3,150-L,450×300mm,"12""×18""",Glossy,Wall,Tiles,Wall Tiles,product,sky12x18-p3-t1-clean.webp,/assets/catalogue/clean_swatches/sky12x18-p3-t1-clean.webp,450X300 150-L 450X300 150-L 450X300 GLOSSY,high
sky12x18-c003,4,150-AQUA,450×300mm,"12""×18""",Glossy,Wall,Tiles,Wall Tiles,product,sky12x18-p4-t1-clean.webp,/assets/catalogue/clean_swatches/sky12x18-p4-t1-clean.webp,"450X300 150-AQUA 450X300 150-AQUA . * f 7 * al 7 by H’ iat im 7 fees ~*~ \ie em ‘ Ht a | > ™ % < - wa é ~*~ 7 A * — ~~ a ‘s : ' ae , EN j c = ’ : 7 ; . es? ¥ i aN ; i"" = ‘i AN bi 1 = 7” ao . at bee . ",high
sky12x18-c004,5,150-L,450×300mm,"12""×18""",Glossy,Wall,Tiles,Wall Tiles,product,sky12x18-p5-t1-clean.webp,/assets/catalogue/clean_swatches/sky12x18-p5-t1-clean.webp,450X300 150-L 450X300 150-L 450X300 GLOSSY,high
sky12x18-c005,6,150-L,450×300mm,"12""×18""",Glossy,Wall,Tiles,Wall Tiles,product,sky12x18-p6-t1-clean.webp,/assets/catalogue/clean_swatches/sky12x18-p6-t1-clean.webp,450X300 150-L 450X300 150-L 450X300 GLOSSY a -_ \ \,high
sky12x18-c006,7,151-LT,450×300mm,"12""×18""",Glossy,Wall,Tiles,Wall Tiles,product,sky12x18-p7-t1-clean.webp,/assets/catalogue/clean_swatches/sky12x18-p7-t1-clean.webp,"450X300 151-LT 450X300 151-LT ; \ % vy 4 / q my “ . } \ ' \ | ‘ ' ‘ \ + \' | 5) | | | \\ \ con ‘ , ' : \ L < o, re . \ \\ \ \\\ pe | : x) Ye seis \ \ ’ at \\ P sees \ ' , A <8 eh : 3 ’ 7 o A) , 2 \ AY",high
sky12x18-c007,8,230-LT,450×300mm,"12""×18""",Glossy,Wall,Tiles,Wall Tiles,product,sky12x18-p8-t1-clean.webp,/assets/catalogue/clean_swatches/sky12x18-p8-t1-clean.webp,450X300 230-LT 450X300 230-LT 450X300 GLOSSY,high
sky12x18-c008,9,236-LT,450×300mm,"12""×18""",Glossy,Wall,Tiles,Wall Tiles,product,sky12x18-p9-t1-clean.webp,/assets/catalogue/clean_swatches/sky12x18-p9-t1-clean.webp,450X300 236-LT 450X300 236-LT 450X300 GLOSSY a JY = 7 _ =e,high
sky12x18-c009,10,242-LT,450×300mm,"12""×18""",Glossy,Wall,Tiles,Wall Tiles,product,sky12x18-p10-t1-clean.webp,/assets/catalogue/clean_swatches/sky12x18-p10-t1-clean.webp,450X300 242-LT 450X300 242-LT 450X300 GLOSSY,high
sky12x18-c010,11,252-LT,450×300mm,"12""×18""",Glossy,Wall,Tiles,Wall Tiles,product,sky12x18-p11-t1-clean.webp,/assets/catalogue/clean_swatches/sky12x18-p11-t1-clean.webp,"450X300 252-LT 450X300 252-LT Oe z, . / Lees Ags “ ee iy f ba . ~£ ¢ AX . , ey < = ies es s .",high
