id,name,code,sizeMm,sizeFt,finish,surface,pdfPage,textureFile,textureUrl,confidence,nameOcrRaw
skype-c001,,,600×1200mm,2×4 Ft,Glossy,Floor & Wall,3,skype-2x4-p03-t1-clean.webp,/assets/catalogue/clean_swatches/skype-2x4-p03-t1-clean.webp,low,Tiles Name 25 5 T EXTENSIVE f } ‘ AVAILABLE RANDOMS : 4 EXTENSIVE Tiles Name 255 1 Beauty Has No Boundaries AVAILABLE RANDOMS : 4
skype-c002,Skype 2547,2547,600×1200mm,2×4 Ft,Glossy,Floor & Wall,5,skype-2x4-p05-t1-clean.webp,/assets/catalogue/clean_swatches/skype-2x4-p05-t1-clean.webp,high,AVAILABLE RANDOMS : 4 Tiles Name 2547 EXTENSIVE Beauty Has No Boundaries AVAILABLE RANDOMS : 4
skype-c003,,,600×1200mm,2×4 Ft,Glossy,Floor & Wall,7,skype-2x4-p07-t1-clean.webp,/assets/catalogue/clean_swatches/skype-2x4-p07-t1-clean.webp,low,"ha 7 Ve Wak a . = Pe eS - . my We eee Ra es: } | eecaer as, => 2 tye ime sa ss < He baa —— \ ss a "", ~. a i al as aS sh Le nl 0 h ey PSL 5 ee cs en ow: At Sica ‘ey ee™ KS: ys \ Nan 7 Se re +"
skype-c004,,,600×1200mm,2×4 Ft,Glossy,Floor & Wall,9,skype-2x4-p09-t1-clean.webp,/assets/catalogue/clean_swatches/skype-2x4-p09-t1-clean.webp,low,“a CKYPE Pe SK YPE
skype-c005,,,600×1200mm,2×4 Ft,Glossy,Floor & Wall,11,skype-2x4-p11-t1-clean.webp,/assets/catalogue/clean_swatches/skype-2x4-p11-t1-clean.webp,low,"° | ae Mott =) : = gt SS ae See x ° ‘ iio’ “te eae | WG . i ee owt v vy 3 Som = = oh € 4 E ae in a ~, 2 a Ms # i: a var : ' a — a — . ae Se ‘ ee ag _ _ vt ii ¥ S ‘ ly Py! wv. Be Moe iy i & % # eS i. o"
skype-c006,,,600×1200mm,2×4 Ft,Glossy,Floor & Wall,13,skype-2x4-p13-t1-clean.webp,/assets/catalogue/clean_swatches/skype-2x4-p13-t1-clean.webp,low,| i ST JPREMA a ST JPREMA
skype-c007,,,600×1200mm,2×4 Ft,Glossy,Floor & Wall,15,skype-2x4-p15-t1-clean.webp,/assets/catalogue/clean_swatches/skype-2x4-p15-t1-clean.webp,low,. Te SUPREMA a > = — «2 << 2 7 SUPREMA
skype-c008,,,600×1200mm,2×4 Ft,Glossy,Floor & Wall,17,skype-2x4-p17-t1-clean.webp,/assets/catalogue/clean_swatches/skype-2x4-p17-t1-clean.webp,low,SKYPE TILE PRESENTS SUPREMA COLLECTION SKYPE TILE PRESENTS SUPREMA COLLECTION WARRAA = ——
skype-c009,Skype 2538,2538,600×1200mm,2×4 Ft,Glossy,Floor & Wall,19,skype-2x4-p19-t1-clean.webp,/assets/catalogue/clean_swatches/skype-2x4-p19-t1-clean.webp,high,Tiles Name 2538 EXTENSIVE A\JAIL A DIC DAKAIPYSTNAAC . £4 EXTENSIVE Tiles Name 2 5 3 8 Beauty Has No Boundaries AX\JAILA DIC DAKAIPMTNAAC .
skype-c010,,,600×1200mm,2×4 Ft,Glossy,Floor & Wall,21,skype-2x4-p21-t1-clean.webp,/assets/catalogue/clean_swatches/skype-2x4-p21-t1-clean.webp,low,alls PORCELUX Cl7 ls FE Reflecting Elegance Cl7 ls FE PORCELUX Reflecting Elegance
skype-c011,,,600×1200mm,2×4 Ft,Glossy,Floor & Wall,23,skype-2x4-p23-t1-clean.webp,/assets/catalogue/clean_swatches/skype-2x4-p23-t1-clean.webp,low,"= efs - ~s : Py . . ~ .; a Le A ral a aw = a : ‘J Pad - . . ~ 5 ~ Oe Yok BO uw ist $28 *. _ 4 7, GS co ‘ 2 s -—- » | ba ~ t . rr cee _ Fe S ~~ _ ~~ _ ies . tS i : x Saget She . ~ | - & — = é 4S = ‘=e "
skype-c012,,,600×1200mm,2×4 Ft,Glossy,Floor & Wall,25,skype-2x4-p25-t1-clean.webp,/assets/catalogue/clean_swatches/skype-2x4-p25-t1-clean.webp,low,ou (2 SKYPE’ ENDI_ESS sk SKYPE
skype-c013,,,600×1200mm,2×4 Ft,Glossy,Floor & Wall,27,skype-2x4-p27-t1-clean.webp,/assets/catalogue/clean_swatches/skype-2x4-p27-t1-clean.webp,low,ou (2 SKYPE’ ENDI_ESS sk SKYPE
skype-c014,,,600×1200mm,2×4 Ft,Glossy,Floor & Wall,29,skype-2x4-p29-t1-clean.webp,/assets/catalogue/clean_swatches/skype-2x4-p29-t1-clean.webp,low,ou (2 SKYPE’ ENDI_ESS sk SKYPE
skype-c015,,,600×1200mm,2×4 Ft,Glossy,Floor & Wall,31,skype-2x4-p31-t1-clean.webp,/assets/catalogue/clean_swatches/skype-2x4-p31-t1-clean.webp,low,ou (2 SKYPE’ ENDI_ESS sk SKYPE
skype-c016,,,600×1200mm,2×4 Ft,Glossy,Floor & Wall,33,skype-2x4-p33-t1-clean.webp,/assets/catalogue/clean_swatches/skype-2x4-p33-t1-clean.webp,low,ou (2 SKYPE’ ENDI_ESS sk SKYPE
