id,pdfPage,slot,layout,name,altNames,sizeMm,sizeFt,finish,thicknessMm,surface,category,subCategory,textureFile,textureUrl,nameOcrRaw,specsOcrRaw,confidence,note
sunflora-c001,1,2,empty,,Re - R J I As | I 7,600×1200mm,2×4 Ft,Carving,,Floor & Wall,Tiles,Floor & Wall Tiles,sunflora-p01-t1-clean.webp,/assets/catalogue/clean_swatches/sunflora-p01-t1-clean.webp,Re - R J I As | I 7,ay a “i iF i F c J Ww a 1 | a } r : s iil il —,non_product,cover/divider page — not a product
sunflora-c002,2,1,empty,,Collection,600×1200mm,2×4 Ft,Carving,,Floor & Wall,Tiles,Floor & Wall Tiles,sunflora-p02-t1-clean.webp,/assets/catalogue/clean_swatches/sunflora-p02-t1-clean.webp,Collection,CARVING ',non_product,cover/divider page — not a product
sunflora-c003,3,1,A,Cv Boto Grey,,600×1200mm,2×4 Ft,Carving,,Floor & Wall,Tiles,Floor & Wall Tiles,sunflora-p03-t1-clean.webp,/assets/catalogue/clean_swatches/sunflora-p03-t1-clean.webp,CV BOTO GREY = . CV BOTO GREY,Size [ff 600x1200mm Finish *. CARVING Random 3) «COU Thiclnacc,high,
sunflora-c004,4,2,B,Cv Silestone White / Cv Silestone Nero,Adit - Am Oh O 7 | Me Nero Eee,600×1200mm,2×4 Ft,Carving,9.0,Floor & Wall,Tiles,Floor & Wall Tiles,sunflora-p04-t1-clean.webp,/assets/catalogue/clean_swatches/sunflora-p04-t1-clean.webp,Adit - Am Oh O 7 | Me Nero Eee,"VV VILEQSIVNE Write cea The cir). ""1 ’ ad ‘ & ~é > ' , ™ —.- ‘ - 7 ‘ ’ \ : a , ’ ‘ 4 wm 2 ¢ 3 644-20 , o pet a2 ~~ . . ~ ° d , >». “| ‘ ty : - ] 7 4 : ‘ : ** . "" 4 o ' _* ‘ ¥ : ‘ "" : - “ o + P % : #6 ",high,
sunflora-c005,5,2,B,Cv Travertino Beige,Win F Ants Rd | Se Tele Apa Trees On Ps,600×1200mm,2×4 Ft,Carving,,Floor & Wall,Tiles,Floor & Wall Tiles,sunflora-p05-t1-clean.webp,/assets/catalogue/clean_swatches/sunflora-p05-t1-clean.webp,Win F Ants Rd | Se Tele Apa Trees On Ps,". =. i ) = _ ae i P * . oie en: = ’ ‘ See ee eA Cee eee ot pee a San on Yr aa, ee "" i 2 She, mit 4 ; =) ™ ¥ : - ba ~~ aN aa - a 7 wile ’ <a - — Sb . wd ~ —— int -.. a fh, _ — “4 : - _ : a ee - a” ar =",high,
sunflora-c006,6,1,A,Sp Crystal Black,,600×1200mm,2×4 Ft,Sparkle With Granulla,,Floor & Wall,Tiles,Floor & Wall Tiles,sunflora-p06-t1-clean.webp,/assets/catalogue/clean_swatches/sunflora-p06-t1-clean.webp,SP CRYSTAL _— SP CRYSTAL BLACK,Size [ff 600x1200mm Finish *. SPARKLE WITH GRANULLA Random 4 Ill Thicknace,high,
sunflora-c007,7,2,B,Sp Crystal Silver,Ae A Sasaililed R Ad Tw | Aa 4 Ae 4,600×1200mm,2×4 Ft,Carving,,Floor & Wall,Tiles,Floor & Wall Tiles,sunflora-p07-t1-clean.webp,/assets/catalogue/clean_swatches/sunflora-p07-t1-clean.webp,Ae A Sasaililed R Ad Tw | Aa 4 Ae 4,"> bef * a ¥ OR ae i te BN Sy RS i. > = r : r hy * age” * i e e 7 ¢ "" J Song Te - SPM EEN \7 >» - _ _ a ~~"" fs A - 3 na i 5 he _— he ” % ' 3 vr i o 6 - Sg 4 “ i) ' eo oe — a \# : e Bs. oe Lf Be Set Mig",high,
sunflora-c008,8,1,A,Sp Denim Nero,,600×1200mm,2×4 Ft,Sparkle With Granulla,,Floor & Wall,Tiles,Floor & Wall Tiles,sunflora-p08-t1-clean.webp,/assets/catalogue/clean_swatches/sunflora-p08-t1-clean.webp,SP DENIM NERO = SP DENIM NERO,| Size (ff 600x1200mm Finish *. SPARKLE WITH GRANULLA Random 1 Ill Thickness,high,
sunflora-c009,9,2,B,Sp Denim White,Se Ee Ss Aaa Ae Aeeees | Ti T T,600×1200mm,2×4 Ft,Carving,,Floor & Wall,Tiles,Floor & Wall Tiles,sunflora-p09-t1-clean.webp,/assets/catalogue/clean_swatches/sunflora-p09-t1-clean.webp,Se Ee Ss Aaa Ae Aeeees | Ti T T,"Fan ela en op ce ! a | ee | eee \ Gea i is i] He bt ' i a8 4 { He : P| ar ’ j * Pt i i i / — 3 He ‘i ne : i. ed ; A SE ceweoe bet S p i t~«* . i ""DO"", ei en he [reteset seecrny i ; +; ' ’ Sh ; ti H Vi",high,
sunflora-c010,10,2,B,Sp Flicker Brown,Ay 7 F I Ai A | Ye Me,600×1200mm,2×4 Ft,Carving,,Floor & Wall,Tiles,Floor & Wall Tiles,sunflora-p10-t1-clean.webp,/assets/catalogue/clean_swatches/sunflora-p10-t1-clean.webp,Ay 7 F I Ai A | Ye Me,"“ | i : jay : : : - « ; , . , > .) : , : > : ¢ ° . - 7 . , id . o* ; - ‘ és Ma BS oa * “- ». > . oe ~ Pal . r* a te y >», « ’ ny ‘be j - a} f ’ 4 - , oe t% . ’ 4 _ 4 o>, * b oe ~~ ¢ ig oe OATES G0 oe”",high,
