id,page,current_name,suggested_name,source_crop,confidence,quality,ACCEPT
"gt2025-c141","3","Global 2025 Tile #141","BRIKO-CARROT","fixed_below","91","2",""
"gt2025-c142","3","Global 2025 Tile #142","BRIKO-KHAKHI","fixed_below","93","2",""
"gt2025-c143","3","Global 2025 Tile #143","STONY-11","fixed_below","90","2",""
"gt2025-c144","3","Global 2025 Tile #144","STONY-22","fixed_below","86","2",""
"gt2025-c145","4","Global 2025 Tile #145","STONY-51","fixed_below","91","2",""
"gt2025-c146","4","Global 2025 Tile #146","STONY-57","fixed_below","93","2",""
"gt2025-c147","4","Global 2025 Tile #147","","","0","0",""
"gt2025-c148","4","Global 2025 Tile #148","","","0","0",""
"gt2025-c149","5","Global 2025 Tile #149","","","0","0",""
"gt2025-c150","5","Global 2025 Tile #150","SS-13","region_below","86","3",""
"gt2025-c151","5","Global 2025 Tile #151","POOL-06","region_below","85","3",""
"gt2025-c152","5","Global 2025 Tile #152","POOL-13","region_below","89","3",""
"gt2025-c153","6","Global 2025 Tile #153","","","0","0",""
"gt2025-c154","6","Global 2025 Tile #154","MD-58","region_below","91","3",""
"gt2025-c155","6","Global 2025 Tile #155","","","0","0",""
"gt2025-c156","6","Global 2025 Tile #156","VM-11","region_below","80","3",""
"gt2025-c157","7","Global 2025 Tile #157","CTB-17","region_below","81","3",""
"gt2025-c158","7","Global 2025 Tile #158","CTB-08","fixed_below","74","3",""
"gt2025-c159","7","Global 2025 Tile #159","CTB-29","region_below","89","3",""
"gt2025-c160","7","Global 2025 Tile #160","LUR-61","region_below","90","3",""
"gt2025-c161","8","Global 2025 Tile #161","LUR-71","region_below","90","3",""
"gt2025-c162","8","Global 2025 Tile #162","","","0","0",""
"gt2025-c163","8","Global 2025 Tile #163","","","0","0",""
"gt2025-c164","8","Global 2025 Tile #164","","","0","0",""
"gt2025-c165","9","Global 2025 Tile #165","","","0","0",""
"gt2025-c166","9","Global 2025 Tile #166","LX-10","region_below","86","3",""
"gt2025-c167","9","Global 2025 Tile #167","& LX-65 or","fixed_below","68","2",""
"gt2025-c168","9","Global 2025 Tile #168","PLC-60","region_below","87","3",""
"gt2025-c169","10","Global 2025 Tile #169","","","0","0",""
"gt2025-c170","10","Global 2025 Tile #170","","","0","0",""
"gt2025-c171","10","Global 2025 Tile #171","PLC-63","region_below","89","3",""
"gt2025-c172","10","Global 2025 Tile #172","","","0","0",""
"gt2025-c173","11","Global 2025 Tile #173","","","0","0",""
"gt2025-c174","11","Global 2025 Tile #174","","","0","0",""
"gt2025-c175","11","Global 2025 Tile #175","56177-L","region_below","91","3",""
"gt2025-c176","11","Global 2025 Tile #176","56234-L","region_below","90","3",""
"gt2025-c177","12","Global 2025 Tile #177","","","0","0",""
"gt2025-c178","12","Global 2025 Tile #178","56181-L","region_below","91","3",""
"gt2025-c179","12","Global 2025 Tile #179","56210-L","region_below","90","3",""
"gt2025-c180","12","Global 2025 Tile #180","9209-L","region_below","89","3",""
"gt2025-c181","13","Global 2025 Tile #181","","","0","0",""
"gt2025-c182","13","Global 2025 Tile #182","","","0","0",""
"gt2025-c183","13","Global 2025 Tile #183","55006-L","region_below","90","3",""
"gt2025-c184","13","Global 2025 Tile #184","55127-L","region_below","91","3",""
"gt2025-c185","14","Global 2025 Tile #185","","","0","0",""
"gt2025-c186","14","Global 2025 Tile #186","55185-L ETT","fixed_below","73","2",""
"gt2025-c187","14","Global 2025 Tile #187","BAIHROOM SERIES","fixed_above","78","2",""
"gt2025-c188","14","Global 2025 Tile #188","55209-L","fixed_below","90","3",""
"gt2025-c189","15","Global 2025 Tile #189","","","0","0",""
"gt2025-c190","15","Global 2025 Tile #190","","","0","0",""
"gt2025-c191","15","Global 2025 Tile #191","55262-L","region_below","90","3",""
"gt2025-c192","15","Global 2025 Tile #192","55331-L","region_below","90","3",""
"gt2025-c193","16","Global 2025 Tile #193","55394-L","region_below","81","3",""
"gt2025-c194","16","Global 2025 Tile #194","55444-L","fixed_below","91","3",""
"gt2025-c195","16","Global 2025 Tile #195","BAIHROOM SERIES","fixed_above","78","2",""
"gt2025-c196","16","Global 2025 Tile #196","","","0","0",""
"gt2025-c197","17","Global 2025 Tile #197","","","0","0",""
"gt2025-c198","17","Global 2025 Tile #198","55644-L","region_above","89","3",""
"gt2025-c199","17","Global 2025 Tile #199","55656-L","region_below","79","3",""
"gt2025-c200","17","Global 2025 Tile #200","55754-L","fixed_below","90","3",""
"gt2025-c201","18","Global 2025 Tile #201","","","0","0",""
"gt2025-c202","18","Global 2025 Tile #202","","","0","0",""
"gt2025-c203","18","Global 2025 Tile #203","56050-L","region_above","89","3",""
"gt2025-c204","18","Global 2025 Tile #204","9056-L","region_below","91","3",""
"gt2025-c205","19","Global 2025 Tile #205","SPW-131-L 2","region_below","84","2",""
"gt2025-c206","19","Global 2025 Tile #206","SPW-40-L","region_below","86","3",""
"gt2025-c207","19","Global 2025 Tile #207","KITCHEN SERIES","fixed_above","95","2",""
"gt2025-c208","19","Global 2025 Tile #208","55790-L","fixed_below","93","3",""
"gt2025-c209","20","Global 2025 Tile #209","56806-L Tana","fixed_below","65","2",""
"gt2025-c210","20","Global 2025 Tile #210","56013-L","fixed_below","92","3",""
"gt2025-c211","20","Global 2025 Tile #211","56019-L","fixed_below","90","3",""
"gt2025-c212","20","Global 2025 Tile #212","","","0","0",""
"gt2025-c213","21","Global 2025 Tile #213","56197-L i J","fixed_below","61","2",""
"gt2025-c214","21","Global 2025 Tile #214","56197-HL-2","fixed_above","90","2",""
"gt2025-c215","21","Global 2025 Tile #215","56199-L","fixed_below","91","3",""
"gt2025-c216","21","Global 2025 Tile #216","","","0","0",""
"gt2025-c217","22","Global 2025 Tile #217","","","0","0",""
"gt2025-c218","22","Global 2025 Tile #218","","","0","0",""
"gt2025-c219","22","Global 2025 Tile #219","FIlEVAIION SERIES","fixed_above","64","2",""
"gt2025-c220","22","Global 2025 Tile #220","","","0","0",""
"gt2025-c221","23","Global 2025 Tile #221","","","0","0",""
"gt2025-c222","23","Global 2025 Tile #222","","","0","0",""
"gt2025-c223","23","Global 2025 Tile #223","EL-FD-202","region_below","91","2",""
"gt2025-c224","23","Global 2025 Tile #224","","","0","0",""
"gt2025-c225","24","Global 2025 Tile #225","EL-1015","region_below","89","3",""
"gt2025-c226","24","Global 2025 Tile #226","","","0","0",""
"gt2025-c227","24","Global 2025 Tile #227","EL-1953","region_below","91","3",""
"gt2025-c228","24","Global 2025 Tile #228","","","0","0",""
"gt2025-c229","25","Global 2025 Tile #229","EL-A-16","region_below","89","2",""
"gt2025-c230","25","Global 2025 Tile #230","","","0","0",""
"gt2025-c231","25","Global 2025 Tile #231","EL-K-02","fixed_below","91","2",""
"gt2025-c232","25","Global 2025 Tile #232","","","0","0",""
"gt2025-c233","26","Global 2025 Tile #233","EL-3011","region_below","90","3",""
"gt2025-c234","26","Global 2025 Tile #234","EL-3011","region_above","90","3",""
"gt2025-c235","26","Global 2025 Tile #235","EL-3110","region_below","90","3",""
"gt2025-c236","26","Global 2025 Tile #236","","","0","0",""
"gt2025-c237","27","Global 2025 Tile #237","","","0","0",""
"gt2025-c238","27","Global 2025 Tile #238","","","0","0",""
"gt2025-c239","27","Global 2025 Tile #239","VITRIFIED BODY","fixed_above","95","2",""
"gt2025-c240","27","Global 2025 Tile #240","","","0","0",""
"gt2025-c241","28","Global 2025 Tile #241","","","0","0",""
"gt2025-c242","28","Global 2025 Tile #242","","","0","0",""
"gt2025-c243","28","Global 2025 Tile #243","VITRIFIED BODY","fixed_above","95","2",""
"gt2025-c244","28","Global 2025 Tile #244","","","0","0",""
"gt2025-c245","29","Global 2025 Tile #245","","","0","0",""
"gt2025-c246","29","Global 2025 Tile #246","","","0","0",""
"gt2025-c247","29","Global 2025 Tile #247","VITRIFIED BODY","fixed_above","95","2",""
"gt2025-c248","29","Global 2025 Tile #248","","","0","0",""
"gt2025-c249","30","Global 2025 Tile #249","","","0","0",""
"gt2025-c250","30","Global 2025 Tile #250","","","0","0",""
"gt2025-c251","30","Global 2025 Tile #251","VITRIFIED BODY","fixed_above","95","2",""
"gt2025-c252","30","Global 2025 Tile #252","","","0","0",""
"gt2025-c253","31","Global 2025 Tile #253","","","0","0",""
"gt2025-c254","31","Global 2025 Tile #254","","","0","0",""
"gt2025-c255","31","Global 2025 Tile #255","VITRIFIED BODY","fixed_above","95","2",""
"gt2025-c256","31","Global 2025 Tile #256","","","0","0",""
"gt2025-c257","32","Global 2025 Tile #257","","","0","0",""
"gt2025-c258","32","Global 2025 Tile #258","","","0","0",""
"gt2025-c259","32","Global 2025 Tile #259","VITRIFIED BODY","fixed_above","95","2",""
"gt2025-c260","32","Global 2025 Tile #260","8015 PLAIN 8031 PLAIN","region_above","89","2",""
"gt2025-c261","33","Global 2025 Tile #261","","","0","0",""
"gt2025-c262","33","Global 2025 Tile #262","","","0","0",""
"gt2025-c263","33","Global 2025 Tile #263","VITRIFIED BODY","fixed_above","95","2",""
"gt2025-c264","33","Global 2025 Tile #264","","","0","0",""
"gt2025-c265","34","Global 2025 Tile #265","","","0","0",""
"gt2025-c266","34","Global 2025 Tile #266","","","0","0",""
"gt2025-c267","34","Global 2025 Tile #267","VITRIFIED BODY","fixed_above","95","2",""
"gt2025-c268","34","Global 2025 Tile #268","","","0","0",""
"gt2025-c269","35","Global 2025 Tile #269","","","0","0",""
"gt2025-c270","35","Global 2025 Tile #270","","","0","0",""
"gt2025-c271","35","Global 2025 Tile #271","VITRIFIED BODY","fixed_above","95","2",""
"gt2025-c272","35","Global 2025 Tile #272","","","0","0",""
"gt2025-c273","36","Global 2025 Tile #273","","","0","0",""
"gt2025-c274","36","Global 2025 Tile #274","","","0","0",""
"gt2025-c275","36","Global 2025 Tile #275","VITRIFIED BODY","fixed_above","95","2",""
"gt2025-c276","36","Global 2025 Tile #276","","","0","0",""
"gt2025-c277","37","Global 2025 Tile #277","","","0","0",""
"gt2025-c278","37","Global 2025 Tile #278","","","0","0",""
"gt2025-c279","37","Global 2025 Tile #279","VITRIFIED BODY","fixed_above","95","2",""
"gt2025-c280","37","Global 2025 Tile #280","","","0","0",""
"gt2025-c281","38","Global 2025 Tile #281","","","0","0",""
"gt2025-c282","38","Global 2025 Tile #282","","","0","0",""
"gt2025-c283","38","Global 2025 Tile #283","VITRIFIED BODY","fixed_above","95","2",""
"gt2025-c284","38","Global 2025 Tile #284","","","0","0",""
"gt2025-c285","39","Global 2025 Tile #285","","","0","0",""
"gt2025-c286","39","Global 2025 Tile #286","3009","region_above","96","3",""
"gt2025-c287","39","Global 2025 Tile #287","VITRIFIED BODY","fixed_above","95","2",""
"gt2025-c288","39","Global 2025 Tile #288","","","0","0",""
"gt2025-c289","40","Global 2025 Tile #289","IV BUTTON","fixed_below","93","2",""
"gt2025-c290","40","Global 2025 Tile #290","","","0","0",""
"gt2025-c291","40","Global 2025 Tile #291","","","0","0",""
"gt2025-c292","40","Global 2025 Tile #292","IVORY","fixed_above","96","2",""
"gt2025-c293","41","Global 2025 Tile #293","","","0","0",""
"gt2025-c294","41","Global 2025 Tile #294","","","0","0",""
"gt2025-c295","41","Global 2025 Tile #295","LEMO PEACH","region_below","93","2",""
"gt2025-c296","41","Global 2025 Tile #296","","","0","0",""
"gt2025-c297","42","Global 2025 Tile #297","LEMO ORCHID","region_below","93","2",""
"gt2025-c298","42","Global 2025 Tile #298","","","0","0",""
"gt2025-c299","42","Global 2025 Tile #299","IFIED TILES","region_above","95","2",""
"gt2025-c300","42","Global 2025 Tile #300","","","0","0",""
"gt2025-c301","43","Global 2025 Tile #301","","","0","0",""
"gt2025-c302","43","Global 2025 Tile #302","","","0","0",""
"gt2025-c303","43","Global 2025 Tile #303","IFIED TILES","region_above","95","2",""
"gt2025-c304","43","Global 2025 Tile #304","a iL","fixed_above","62","2",""
"gt2025-c305","44","Global 2025 Tile #305","","","0","0",""
"gt2025-c306","44","Global 2025 Tile #306","","","0","0",""
"gt2025-c307","44","Global 2025 Tile #307","","","0","0",""
"gt2025-c308","44","Global 2025 Tile #308","","","0","0",""
"gt2025-c309","45","Global 2025 Tile #309","","","0","0",""
"gt2025-c310","45","Global 2025 Tile #310","","","0","0",""
"gt2025-c311","45","Global 2025 Tile #311","MATT TILES","fixed_above","95","2",""
"gt2025-c312","45","Global 2025 Tile #312","","","0","0",""
"gt2025-c313","46","Global 2025 Tile #313","","","0","0",""
