id,page,current_name,suggested_name,note,confidence,ACCEPT
"sunflora-c001","1","Sunflora 2X4 Tile #1","","cover page, not a product","0",""
"sunflora-c002","2","Sunflora 2X4 Tile #2","","divider page, not a product","0",""
"sunflora-c003","3","Sunflora 2X4 Tile #3","Cv Boto Grey","","95","yes"
"sunflora-c004","4","Sunflora 2X4 Tile #4","","ambiguous: page shows 2 products (Cv Silestone White / Cv Silestone Nero)","0",""
"sunflora-c005","5","Sunflora 2X4 Tile #5","Cv Travertino Beige","","95","yes"
"sunflora-c006","6","Sunflora 2X4 Tile #6","Sp Crystal Black","","89","yes"
"sunflora-c007","7","Sunflora 2X4 Tile #7","Sp Crystal Silver","","95","yes"
"sunflora-c008","8","Sunflora 2X4 Tile #8","Sp Denim Nero","","92","yes"
"sunflora-c009","9","Sunflora 2X4 Tile #9","Sp Denim White","","73","yes"
"sunflora-c010","10","Sunflora 2X4 Tile #10","Sp Flicker Brown","","89","yes"
"sunflora-c011","11","Sunflora 2X4 Tile #11","","ambiguous: page shows 2 products (Sp Iconic Beige Decor / Sp Iconic Beige Frame)","0",""
"sunflora-c012","12","Sunflora 2X4 Tile #12","Sp Omicron Beige","","93","yes"
"sunflora-c013","13","Sunflora 2X4 Tile #13","Sp Subway Black Decor","","95","yes"
"sunflora-c014","14","Sunflora 2X4 Tile #14","Sp Subway White Decor","","61",""
"sunflora-c015","15","Sunflora 2X4 Tile #15","Sp Terra Black","","91","yes"
"sunflora-c016","16","Sunflora 2X4 Tile #16","Sp Terra White","","96","yes"
"sunflora-c017","17","Sunflora 2X4 Tile #17","Sp Wing Pink","","93","yes"
"sunflora-c018","18","Sunflora 2X4 Tile #18","","ambiguous: page shows 2 products (Subway Carara Decor / Subway Carara)","0",""
"sunflora-c019","19","Sunflora 2X4 Tile #19","","likely 2 products on this page - not individually verified, needs manual read","0",""
"sunflora-c020","20","Sunflora 2X4 Tile #20","","ambiguous: page shows 2 products (Sense Flora Decor / Sense Flora)","0",""
"sunflora-c021","21","Sunflora 2X4 Tile #21","","likely 2 products on this page - not individually verified, needs manual read","0",""
"sunflora-c022","22","Sunflora 2X4 Tile #22","","likely 2 products on this page - not individually verified, needs manual read","0",""
"sunflora-c023","23","Sunflora 2X4 Tile #23","","likely 2 products on this page - not individually verified, needs manual read","0",""
"sunflora-c024","24","Sunflora 2X4 Tile #24","","likely 2 products on this page - not individually verified, needs manual read","0",""
"sunflora-c025","25","Sunflora 2X4 Tile #25","","likely 2 products on this page - not individually verified, needs manual read","0",""
"sunflora-c026","26","Sunflora 2X4 Tile #26","","likely 2 products on this page - not individually verified, needs manual read","0",""
"sunflora-c027","27","Sunflora 2X4 Tile #27","","likely 2 products on this page - not individually verified, needs manual read","0",""
"sunflora-c028","28","Sunflora 2X4 Tile #28","","ambiguous: page shows 2 products, not individually verified","0",""
"sunflora-c029","29","Sunflora 2X4 Tile #29","End Strom Grey","","96","yes"
"sunflora-c030","30","Sunflora 2X4 Tile #30","End Flora Aqua","","85","yes"
"sunflora-c031","31","Sunflora 2X4 Tile #31","End Spark Statuario","","93","yes"
"sunflora-c032","32","Sunflora 2X4 Tile #32","End Flora Gold","","53",""
"sunflora-c033","33","Sunflora 2X4 Tile #33","","ambiguous: page shows 2 products (End Antheni Mint / End Antheni Pink)","0",""
"sunflora-c034","34","Sunflora 2X4 Tile #34","","ambiguous: page shows 2 products (End Antheni Grey / End Antheni Nero)","0",""
"sunflora-c035","35","Sunflora 2X4 Tile #35","","not individually verified, needs manual read","0",""
"sunflora-c036","36","Sunflora 2X4 Tile #36","3D-1001","","33",""
