id,page,current_name,suggested_name,source_crop,confidence,quality,ACCEPT
"sunflora-c001","1","Sunflora 2X4 Tile #1","","","0","0",""
"sunflora-c002","2","Sunflora 2X4 Tile #2","","","0","0",""
"sunflora-c003","3","Sunflora 2X4 Tile #3","","","0","0",""
"sunflora-c004","4","Sunflora 2X4 Tile #4","","","0","0",""
"sunflora-c005","5","Sunflora 2X4 Tile #5","11 R&R","region_below","70","2",""
"sunflora-c006","6","Sunflora 2X4 Tile #6","","","0","0",""
"sunflora-c007","7","Sunflora 2X4 Tile #7","","","0","0",""
"sunflora-c008","8","Sunflora 2X4 Tile #8","","","0","0",""
"sunflora-c009","9","Sunflora 2X4 Tile #9","","","0","0",""
"sunflora-c010","10","Sunflora 2X4 Tile #10","","","0","0",""
"sunflora-c011","11","Sunflora 2X4 Tile #11","","","0","0",""
"sunflora-c012","12","Sunflora 2X4 Tile #12","","","0","0",""
"sunflora-c013","13","Sunflora 2X4 Tile #13","","","0","0",""
"sunflora-c014","14","Sunflora 2X4 Tile #14","","","0","0",""
"sunflora-c015","15","Sunflora 2X4 Tile #15","","","0","0",""
"sunflora-c016","16","Sunflora 2X4 Tile #16","","","0","0",""
"sunflora-c017","17","Sunflora 2X4 Tile #17","","","0","0",""
"sunflora-c018","18","Sunflora 2X4 Tile #18","SUBWAY CARARA DECOR","mirrored_below","91","2",""
"sunflora-c019","19","Sunflora 2X4 Tile #19","SENSE PEARL DECOR","mirrored_below","69","2",""
"sunflora-c020","20","Sunflora 2X4 Tile #20","SENSE FLORA DECOR","mirrored_below","93","2",""
"sunflora-c021","21","Sunflora 2X4 Tile #21","PRESTIGE MINT DECOR","mirrored_below","87","2",""
"sunflora-c022","22","Sunflora 2X4 Tile #22","","","0","0",""
"sunflora-c023","23","Sunflora 2X4 Tile #23","MOZLO MIDAS DECOR","mirrored_below","82","2",""
"sunflora-c024","24","Sunflora 2X4 Tile #24","","","0","0",""
"sunflora-c025","25","Sunflora 2X4 Tile #25","","","0","0",""
"sunflora-c026","26","Sunflora 2X4 Tile #26","FOR CREMA DECOR","mirrored_below","69","2",""
"sunflora-c027","27","Sunflora 2X4 Tile #27","FOR BROWN DECOR","mirrored_below","68","2",""
"sunflora-c028","28","Sunflora 2X4 Tile #28","","","0","0",""
"sunflora-c029","29","Sunflora 2X4 Tile #29","","","0","0",""
"sunflora-c030","30","Sunflora 2X4 Tile #30","","","0","0",""
"sunflora-c031","31","Sunflora 2X4 Tile #31","","","0","0",""
"sunflora-c032","32","Sunflora 2X4 Tile #32","","","0","0",""
"sunflora-c033","33","Sunflora 2X4 Tile #33","","","0","0",""
"sunflora-c034","34","Sunflora 2X4 Tile #34","","","0","0",""
"sunflora-c035","35","","","","0","0",""
"sunflora-c036","36","","","","0","0",""
